<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,D,20020410,00:00:00,359.6100000,367.6000000,359.6100000,367.6000000,0
RI.RTSI,D,20020411,00:00:00,368.2800000,368.2800000,362.0500000,366.3800000,0
RI.RTSI,D,20020412,00:00:00,367.7700000,367.7700000,358.7200000,358.9100000,0
RI.RTSI,D,20020415,00:00:00,361.8200000,374.0400000,361.8200000,372.2700000,0
RI.RTSI,D,20020416,00:00:00,378.0800000,378.0800000,370.2100000,371.2500000,0
RI.RTSI,D,20020417,00:00:00,374.3900000,376.2400000,374.2700000,376.1100000,0
RI.RTSI,D,20020418,00:00:00,380.5600000,389.2100000,380.5600000,386.8500000,0
RI.RTSI,D,20020419,00:00:00,387.4900000,387.4900000,381.9700000,386.7100000,0
RI.RTSI,D,20020422,00:00:00,387.7200000,387.7200000,379.7700000,379.7700000,0
RI.RTSI,D,20020423,00:00:00,376.5200000,383.7100000,376.5200000,381.1100000,0
RI.RTSI,D,20020424,00:00:00,379.8700000,386.5900000,379.8700000,385.0200000,0
RI.RTSI,D,20020425,00:00:00,387.2100000,387.5200000,382.4900000,382.8100000,0
